hidden_size,port,train_fitted,train_real,train_MAPE,train_RMSE,test_results,test_real,test_MAPE,test_RMSE
64,Long Beach(10kTEU),"[[650.95874]
 [661.6688 ]
 [692.9126 ]
 [693.3021 ]
 [607.5125 ]
 [636.6402 ]
 [620.3062 ]
 [630.726  ]
 [634.2419 ]
 [666.5477 ]
 [684.61005]]","[[671. ]
 [729. ]
 [731.2]
 [648.8]
 [506.7]
 [626.3]
 [610. ]
 [604.5]
 [673. ]
 [682.1]
 [719. ]]",5.883204936981201,45.098217,"[[683.624  ]
 [697.1578 ]
 [705.85767]
 [698.6009 ]]","[[754.]
 [809.]
 [763.]
 [811.]]",11.126730591058731,91.32397
100,Ningbo(10kTEU),"[[ 574.8886 ]
 [ 688.62964]
 [ 864.4886 ]
 [1080.2466 ]
 [1221.6901 ]
 [1181.4128 ]
 [1425.7245 ]
 [1568.3026 ]
 [1692.6127 ]
 [1830.1045 ]
 [2070.185  ]]","[[ 520.8    ]
 [ 706.7999 ]
 [ 934.99994]
 [1084.5999 ]
 [1042.     ]
 [1300.4    ]
 [1451.2    ]
 [1567.1    ]
 [1677.4    ]
 [1869.9999 ]
 [2063.     ]]",4.774071953513405,72.12246,"[[2411.944 ]
 [2759.1458]
 [2959.8218]
 [3091.2988]]","[[2461.]
 [2635.]
 [2749.]
 [2872.]]",5.502383783459663,166.0997
100,Shanghai(10kTEU),"[[1809.842 ]
 [2187.4875]
 [2579.7363]
 [2808.573 ]
 [2756.8135]
 [2861.4521]
 [2900.1606]
 [3251.6187]
 [3355.608 ]
 [3498.8235]
 [3718.386 ]]","[[1808.4   ]
 [2171.    ]
 [2615.    ]
 [2798.    ]
 [2500.2   ]
 [2906.8997]
 [3173.9   ]
 [3252.9   ]
 [3361.7   ]
 [3528.5   ]
 [3654.    ]]",2.3491962389512495,116.59698,"[[3954.0447]
 [4342.1787]
 [4564.7837]
 [4726.11  ]]","[[4023.0002]
 [4201.    ]
 [4330.    ]
 [4350.    ]]",4.7857727855443954,235.19583
100,Singapore(10kTEU),"[[2322.6045]
 [2536.8308]
 [2741.182 ]
 [2953.734 ]
 [3024.3743]
 [2851.3125]
 [2967.7917]
 [3026.5522]
 [3212.8708]
 [3314.1428]
 [3223.9668]]","[[2319.2   ]
 [2479.2   ]
 [2793.6   ]
 [2991.8   ]
 [2586.7   ]
 [2843.1   ]
 [2993.8   ]
 [3164.9   ]
 [3257.8997]
 [3386.9   ]
 [3092.    ]]",3.260683471506292,148.84671,"[[3131.3088]
 [3244.3955]
 [2937.3364]
 [2874.2917]]","[[3366.9998]
 [3660.    ]
 [3720.    ]
 [3660.    ]]",15.21553099155426,603.775
100,Shenzhen(10kTEU),"[[1615.3455]
 [1869.8639]
 [2168.256 ]
 [2042.6818]
 [2031.0754]
 [2177.6316]
 [2220.3198]
 [2231.3774]
 [2298.4482]
 [2357.7798]
 [2488.296 ]]","[[1619.7]
 [1846.9]
 [2109.9]
 [2141.4]
 [1825. ]
 [2250.9]
 [2257. ]
 [2294. ]
 [2327.8]
 [2403.7]
 [2420. ]]",3.071216290647333,82.260056,"[[2476.7747]
 [2689.3008]
 [3121.3618]
 [2784.9368]]","[[2521.]
 [2774.]
 [2577.]
 [2655.]]",7.706374675035477,283.87637
100,Hong Kong(10kTEU),"[[2213.4185]
 [2209.5818]
 [2386.2883]
 [2459.312 ]
 [2189.1497]
 [2371.4602]
 [2411.7432]
 [2251.9211]
 [2319.1514]
 [2200.0557]
 [2177.6697]]","[[2242.7]
 [2353.9]
 [2399.8]
 [2449.4]
 [2104. ]
 [2369.9]
 [2438.4]
 [2311.7]
 [2236.7]
 [2222.6]
 [2007. ]]",2.6727925647388804,79.73682,"[[2559.695 ]
 [2414.3103]
 [2591.8328]
 [2790.78  ]]","[[2076.]
 [1960.]
 [1830.]
 [2007.]]",31.790250539779663,639.3471
100,Busan(10kTEU),"[[1244.9536]
 [1275.4497]
 [1291.6968]
 [1297.4666]
 [1298.2295]
 [1287.3525]
 [1571.1277]
 [1668.7391]
 [1747.3553]
 [1813.0063]
 [1914.7657]]","[[1184.3   ]
 [1203.    ]
 [1327.    ]
 [1345.2   ]
 [1197.9999]
 [1419.4   ]
 [1618.4   ]
 [1704.6   ]
 [1768.6   ]
 [1867.8   ]
 [1945.    ]]",4.157829013737765,65.93633,"[[2027.825 ]
 [2087.4583]
 [2196.4692]
 [2227.2163]]","[[2049.]
 [2166.]
 [2199.]
 [2159.]]",1.9835662096738815,53.09675
100,Guangzhou(10kTEU),"[[ 472.2462]
 [ 683.5669]
 [1024.777 ]
 [1147.7301]
 [1228.3625]
 [1249.0883]
 [1398.2244]
 [1566.8116]
 [1613.1819]
 [1667.52  ]
 [1791.4614]]","[[ 468.5   ]
 [ 660.    ]
 [1025.7   ]
 [1100.1   ]
 [1119.    ]
 [1255.    ]
 [1426.    ]
 [1474.3002]
 [1530.9   ]
 [1660.    ]
 [1722.0001]]",3.3744094046679414,57.06106,"[[1994.2314]
 [2128.2673]
 [2260.2197]
 [2379.7268]]","[[2037.0001]
 [2187.    ]
 [2323.    ]
 [2319.    ]]",2.5265855714678764,56.806236
100,Qingdao(10kTEU),"[[ 654.873 ]
 [ 759.6317]
 [ 884.8575]
 [1042.8485]
 [1121.0026]
 [1115.2411]
 [1313.607 ]
 [1429.5614]
 [1563.5618]
 [1653.2136]
 [1746.656 ]]","[[ 630.7   ]
 [ 770.2   ]
 [ 946.2   ]
 [1032.    ]
 [1026.    ]
 [1201.2   ]
 [1302.    ]
 [1450.3   ]
 [1552.    ]
 [1657.9999]
 [1747.0001]]",2.9572259296070444,44.428234,"[[1849.7908]
 [1869.6525]
 [1866.9128]
 [2054.8672]]","[[1830.]
 [1826.]
 [2101.]
 [2200.]]",5.302679538726807,139.78336
100,Dubai(10kTEU),"[[ 857.9119 ]
 [ 970.45526]
 [ 994.93616]
 [1144.4943 ]
 [1223.3276 ]
 [1168.0072 ]
 [1206.0543 ]
 [1355.1774 ]
 [1386.3707 ]
 [1428.5535 ]
 [1549.291  ]]","[[ 861.9]
 [ 892.3]
 [1079.1]
 [1182.7]
 [1110. ]
 [1160. ]
 [1300. ]
 [1327. ]
 [1364.1]
 [1524.9]
 [1560. ]]",4.467151923613115,65.42708,"[[1582.469 ]
 [1558.2432]
 [1526.8402]
 [1463.7686]]","[[1537.]
 [1495.]
 [1411.]
 [1350.]]",5.95642551779747,90.04078
